"","tractid","all_fire","alarm_unknown","alarm_presented","alarm_not_presented","ratio_no_alarm_in_all","ratio_no_alarm_in_all_known"
"1","01001020200",1,1,0,0,0,NA
"2","01001020400",2,2,0,0,0,NA
"3","01001020500",2,1,1,0,0,0
"4","01001020700",2,1,1,0,0,0
"5","01001020801",1,0,1,0,0,0
"6","01003010200",2,2,0,0,0,NA
"7","01003010400",3,3,0,0,0,NA
"8","01003010500",8,3,3,2,0.25,0.4
"9","01003010600",5,3,2,0,0,0
"10","01003010701",3,2,0,1,0.333333333333333,1
"11","01003010703",8,3,3,2,0.25,0.4
"12","01003010704",1,1,0,0,0,NA
"13","01003010705",4,1,1,2,0.5,0.666666666666667
"14","01003010800",5,4,1,0,0,0
"15","01003010903",4,4,0,0,0,NA
"16","01003010904",2,1,1,0,0,0
"17","01003010905",4,3,0,1,0.25,1
"18","01003011000",1,1,0,0,0,NA
"19","01003011101",1,1,0,0,0,NA
"20","01003011202",8,7,0,1,0.125,1
"21","01003011300",1,1,0,0,0,NA
"22","01003011401",13,10,3,0,0,0
"23","01003011403",3,2,1,0,0,0
"24","01003011405",1,1,0,0,0,NA
"25","01003011406",4,2,1,1,0.25,0.5
"26","01003011407",5,2,3,0,0,0
"27","01003011408",1,1,0,0,0,NA
"28","01003011501",1,0,0,1,1,1
"29","01003011502",5,1,2,2,0.4,0.5
"30","01003011601",9,9,0,0,0,NA
"31","01003011602",10,9,0,1,0.1,1
"32","01005950100",1,1,0,0,0,NA
"33","01005950200",3,3,0,0,0,NA
"34","01005950500",3,1,0,2,0.666666666666667,1
"35","01007010004",1,1,0,0,0,NA
"36","01009050101",3,3,0,0,0,NA
"37","01009050102",3,2,0,1,0.333333333333333,1
"38","01009050300",11,5,4,2,0.181818181818182,0.333333333333333
"39","01009050400",10,10,0,0,0,NA
"40","01009050500",3,2,1,0,0,0
"41","01009050601",2,2,0,0,0,NA
"42","01009050602",6,6,0,0,0,NA
"43","01011952200",1,0,0,1,1,1
"44","01013952700",3,2,1,0,0,0
"45","01013952800",1,0,1,0,0,0
"46","01013952900",2,2,0,0,0,NA
"47","01013953000",1,0,0,1,1,1
"48","01013953100",2,2,0,0,0,NA
"49","01013953200",5,5,0,0,0,NA
"50","01015001100",9,4,3,2,0.222222222222222,0.4
"51","01015001201",7,3,2,2,0.285714285714286,0.5
"52","01015001202",4,4,0,0,0,NA
"53","01015001500",4,0,2,2,0.5,0.5
"54","01015002000",5,3,1,1,0.2,0.5
"55","01015002101",1,0,1,0,0,0
"56","01015002102",4,3,1,0,0,0
"57","01015002103",5,1,2,2,0.4,0.5
"58","01015002200",3,1,0,2,0.666666666666667,1
"59","01015002300",1,1,0,0,0,NA
"60","01015002400",1,1,0,0,0,NA
"61","01015002502",1,0,1,0,0,0
"62","01017953900",5,5,0,0,0,NA
"63","01017954000",5,2,1,2,0.4,0.666666666666667
"64","01017954200",3,2,0,1,0.333333333333333,1
"65","01017954300",2,2,0,0,0,NA
"66","01017954400",1,1,0,0,0,NA
"67","01017954500",11,11,0,0,0,NA
"68","01017954700",2,2,0,0,0,NA
"69","01019955701",3,3,0,0,0,NA
"70","01021060101",7,7,0,0,0,NA
"71","01021060102",5,3,2,0,0,0
"72","01021060402",1,0,1,0,0,0
"73","01021060500",3,2,1,0,0,0
"74","01025957601",1,1,0,0,0,NA
"75","01025957800",6,5,0,1,0.166666666666667,1
"76","01027959000",1,0,1,0,0,0
"77","01027959100",1,1,0,0,0,NA
"78","01029959600",4,2,1,1,0.25,0.5
"79","01029959700",3,3,0,0,0,NA
"80","01031010300",2,2,0,0,0,NA
"81","01031010600",1,1,0,0,0,NA
"82","01031010900",5,1,1,3,0.6,0.75
"83","01031011100",1,0,0,1,1,1
"84","01031011201",4,2,0,2,0.5,1
"85","01031011202",1,1,0,0,0,NA
"86","01031011300",3,1,1,1,0.333333333333333,0.5
"87","01033020701",1,1,0,0,0,NA
"88","01033020704",3,1,0,2,0.666666666666667,1
"89","01033020801",3,1,0,2,0.666666666666667,1
"90","01033020802",1,0,0,1,1,1
"91","01035960500",2,0,0,2,1,1
"92","01035960600",2,1,0,1,0.5,1
"93","01039961600",1,0,0,1,1,1
"94","01039962400",1,0,1,0,0,0
"95","01039962500",1,0,1,0,0,0
"96","01039962600",3,1,1,1,0.333333333333333,0.5
"97","01039962700",3,2,0,1,0.333333333333333,1
"98","01039962800",2,2,0,0,0,NA
"99","01039963000",5,4,0,1,0.2,1
"100","01043964100",3,3,0,0,0,NA
"101","01043964300",1,1,0,0,0,NA
"102","01043964800",2,0,1,1,0.5,0.5
"103","01043964900",4,4,0,0,0,NA
"104","01043965000",1,0,0,1,1,1
"105","01045020100",1,1,0,0,0,NA
"106","01045020500",3,2,0,1,0.333333333333333,1
"107","01045020700",3,2,1,0,0,0
"108","01045020801",1,0,0,1,1,1
"109","01045020802",3,2,0,1,0.333333333333333,1
"110","01045021101",2,1,1,0,0,0
"111","01045021300",2,1,1,0,0,0
"112","01047956100",1,1,0,0,0,NA
"113","01047956201",1,0,1,0,0,0
"114","01047956300",8,3,1,4,0.5,0.8
"115","01047956400",3,0,1,2,0.666666666666667,0.666666666666667
"116","01047956500",4,1,0,3,0.75,1
"117","01047956600",8,2,1,5,0.625,0.833333333333333
"118","01047956701",3,1,2,0,0,0
"119","01047956702",6,4,0,2,0.333333333333333,1
"120","01047957100",1,0,0,1,1,1
"121","01047957300",8,4,1,3,0.375,0.75
"122","01049960100",2,1,0,1,0.5,1
"123","01049960200",5,1,0,4,0.8,1
"124","01049960300",8,4,1,3,0.375,0.75
"125","01049960400",5,1,2,2,0.4,0.5
"126","01049960900",2,1,1,0,0,0
"127","01049961100",3,1,1,1,0.333333333333333,0.5
"128","01049961300",4,2,1,1,0.25,0.5
"129","01051030200",4,4,0,0,0,NA
"130","01051030400",6,5,0,1,0.166666666666667,1
"131","01051030500",4,2,1,1,0.25,0.5
"132","01051030600",9,4,2,3,0.333333333333333,0.6
"133","01051030701",4,2,0,2,0.5,1
"134","01051030702",2,0,1,1,0.5,0.5
"135","01051030800",11,5,1,5,0.454545454545455,0.833333333333333
"136","01051030901",1,0,1,0,0,0
"137","01051031000",6,2,1,3,0.5,0.75
"138","01051031100",1,0,0,1,1,1
"139","01051031200",1,0,1,0,0,0
"140","01051031300",1,1,0,0,0,NA
"141","01053969900",4,3,0,1,0.25,1
"142","01053970100",5,4,0,1,0.2,1
"143","01053970200",6,6,0,0,0,NA
"144","01053970300",1,1,0,0,0,NA
"145","01053970400",5,4,1,0,0,0
"146","01053970500",8,8,0,0,0,NA
"147","01053970600",10,6,1,3,0.3,0.75
"148","01053970700",4,0,3,1,0.25,0.25
"149","01055000200",4,1,1,2,0.5,0.666666666666667
"150","01055000300",3,0,2,1,0.333333333333333,0.333333333333333
"151","01055000400",1,0,0,1,1,1
"152","01055000700",2,0,0,2,1,1
"153","01055000800",1,1,0,0,0,NA
"154","01055000900",3,0,1,2,0.666666666666667,0.666666666666667
"155","01055001000",2,0,1,1,0.5,0.5
"156","01055001100",3,1,2,0,0,0
"157","01055001200",2,1,0,1,0.5,1
"158","01055001600",2,1,1,0,0,0
"159","01055001700",1,1,0,0,0,NA
"160","01055010402",1,0,0,1,1,1
"161","01055010502",7,7,0,0,0,NA
