"tractid","death_injury_rf_risk_prob"
34031143200,0.358
35035000603,0.402
35043010703,0.242
32003003607,0.348
32003005346,0.26
32031000102,0.75
36005005400,0.36
36005022703,0.282
36015011000,0.084
36047013600,0.294
36047025500,0.152
36053030102,0.444
36081005400,0.194
36081034700,0.38
36081115100,0.284
36083040900,0.138
36103146800,0.41
36119007000,0.118
39009973101,0.402
39035121403,0.402
39035174106,0.4
39049006943,0.476
39113120102,0.732
39129021200,0.47
39145003100,0.978
41005022708,0.368
41067031403,0.424
41071030502,0.286
42003561200,0.436
42017104902,0.03
42039110700,0.226
42039111400,0.378
42071014602,0.272
42081000800,0.396
42133021802,0.344
72017990000,0.262
72147950500,0.408
45041001504,0.362
47149041700,0.478
47165020800,0.386
47183968201,0.244
48029181505,0.58
48113009104,0.432
48113013621,0.434
48201555302,0.144
48227950802,0.404
48303001200,0.936
48361021700,0.272
48369950300,0.41
48439106509,0.448
48439110901,0.404
49005000600,0.374
49035112921,0.362
51800075801,0.236
53027001500,0.462
53053062300,0.3
53073010302,0.392
54067950500,0.638
56021000401,0.368
1031010500,0.454
1073001600,0.474
5045031001,0.406
4021001711,0.422
4021002101,0.462
6037980026,0.442
6059087902,0.654
6073008313,0.306
6077005109,0.468
6079011902,0.386
8031001902,0.22
8045952100,0.168
8059011730,0.566
9001081000,0.32
9003406100,0.222
9009170100,0.384
11001008802,0.204
10005050407,0.552
12005001900,0.316
12055961602,0.408
12055980100,0.262
12057013313,0.58
12103024408,0.51
12115002009,0.24
13043950200,0.394
13073030506,0.708
13121007500,0.794
13313001300,0.64
15003981100,0.34
19015020400,0.3
19049050901,0.366
17003957600,0.39
17021958100,0.236
17031061200,0.276
17031832300,0.186
17055040400,0.348
17165955900,0.53
17189950100,0.396
18097352600,0.382
18163001200,0.508
21043960300,0.268
21161960300,0.148
22017024203,0.458
22033001700,0.416
25017310200,0.56
24031700715,0.374
24031702500,0.286
26065003902,0.29
26087334000,0.438
26099255800,0.454
26159010900,0.272
27053026713,0.402
27137990100,0.262
29189219100,0.268
29189221301,0.152
28027950100,0.454
28049010801,0.5
28057950400,0.16
28149950200,0.672
30071060200,0.45
37041930102,0.398
37047931100,0.304
37049960700,0.55
37057061803,0.42
37067002002,0.584
37081012707,0.706
31055007472,0.346
31055007516,0.388
31109001302,0.356
34005702210,0.53
34013004802,0.406
34023000902,0.132
34023007801,0.384
35013000500,0.334
36029003700,0.476
36029005202,0.46
36047024300,0.4
36055011604,0.422
36081027500,0.268
36103159410,0.314
39017011123,0.61
39035106200,0.442
39035175202,0.554
39065000100,0.208
39153510200,0.708
39153531701,0.124
39173020900,0.524
40109108005,0.272
40143008700,0.41
41039002001,0.548
42041981001,0.36
42043023500,0.47
42055010200,0.258
42063960100,0.312
42091201404,0.288
44003021002,0.328
44009051101,0.316
45007010104,0.394
45007010401,0.504
45073030601,0.338
45077011204,0.432
47125101303,0.308
47163042600,0.594
48059030200,0.236
48085031646,0.298
48113007826,0.344
48201231900,0.686
48201410800,0.53
48245000600,0.6
48439106202,0.128
48439110401,0.248
48453001503,0.442
48471790800,0.178
48491021508,0.146
49011125908,0.552
51011040200,0.382
51187020300,0.046
51810043400,0.478
53033024601,0.16
53033032214,0.322
53067010910,0.116
55009000500,0.442
55025011800,0.366
55033970200,0.332
55079185900,0.438
55089660303,0.224
55139000100,0.35
1073012913,0.582
1087231800,0.46
5121960301,0.282
4013040524,0.368
4019004311,0.402
4027010914,0.404
6001433500,0.408
6029003813,0.228
6037143400,0.334
6037208801,0.404
6037532002,0.372
6065044701,0.29
6065045109,0.378
6067006004,0.34
6067008510,0.352
6071000301,0.424
6071002109,0.338
6073009201,0.336
6073010401,0.414
6075017902,0.668
6081984300,0.262
8035013910,0.302
8041006700,0.134
9001010700,0.114
9005290100,0.448
11001007604,0.424
10003014702,0.692
10005990000,0.262
12011092000,0.318
12015020602,0.506
12017450302,0.4
12021000500,0.372
12041950100,0.54
12071001502,0.32
12087971402,0.394
12113010900,0.06
13089021910,0.446
13135050418,0.386
15009030902,0.39
19169000700,0.41
16055000401,0.222
17031818100,0.372
17043845502,0.384
17043846515,0.292
17081050200,0.35
17091012500,0.7
17137951400,0.226
17197880408,0.342
18023950100,0.34
18097310308,0.388
18097357200,0.498
20175965600,0.374
21033920200,0.742
21051950200,0.346
21059000400,0.518
22089062100,0.438
22093040300,0.38
22097960900,0.318
22113950400,0.39
24005492402,0.168
24033800608,0.368
24033806800,0.346
23031034001,0.884
26049003000,0.45
26089970400,0.346
26125128300,0.284
26125141200,0.474
26161421900,0.394
26163518000,0.422
26163532400,0.31
26163557200,0.348
26163577100,0.524
27003050504,0.418
27053026706,0.292
27123036900,0.418
27137015200,0.37
29019001104,0.302
29169470600,0.338
28033070422,0.604
37001021902,0.22
37051003700,0.268
37057060304,0.346
37107010600,0.426
37157040101,0.598
37183053723,0.376
31053963600,0.344
34003039100,0.276
34017015900,0.174
34017017300,0.212
34017017600,0.612
34019011600,0.074
34025807500,0.552
35049010316,0.388
32003000524,0.412
36001013200,0.504
36047026300,0.268
36055015000,0.306
36059404902,0.338
36059517801,0.14
36081062200,0.302
36111952200,0.318
36119004100,0.328
39017013500,0.484
39061007500,0.476
40071001200,0.378
40143006902,0.432
40143009009,0.114
42029307200,0.278
72049950500,0.35
72113072300,0.206
72127010002,0.356
45083021001,0.466
45089970200,0.402
47037017300,0.722
47089070300,0.73
47119010400,0.47
48029150502,0.404
48053960500,0.088
48113007301,0.182
48113012206,0.42
48209010807,0.374
48223950200,0.248
51117930600,0.196
51740213001,0.188
51760041100,0.53
53049950600,0.478
53053062000,0.428
53061041100,0.756
55035000501,0.582
55079060200,0.552
54039012200,0.628
54055001000,0.298
54107000702,0.42
1081041700,0.354
1089011012,0.344
1097001502,0.444
1097005500,0.274
5007020205,0.388
5033020401,0.266
5093011000,0.452
4021001702,0.386
6025011801,0.394
6037185320,0.408
6037264102,0.284
6037301501,0.342
6037536103,0.384
6059011602,0.264
6059052424,0.374
6059063904,0.438
6059110008,0.364
6065042009,0.396
6065042217,0.384
6071007604,0.414
6071010422,0.416
6099000501,0.376
6101050601,0.368
8001060200,0.282
8035014134,0.314
8041002200,0.636
8059009852,0.308
8059010701,0.288
8069002005,0.784
9001020900,0.318
9001071300,0.38
12017451000,0.628
12021010602,0.446
12057001600,0.484
12057011108,0.474
12086001603,0.432
12086008907,0.302
12095016904,0.476
12103027403,0.416
12103028200,0.606
12119910602,0.282
13089021814,0.49
13097080201,0.25
13125010100,0.402
13135050309,0.374
13135050535,0.472
13135050606,0.866
13185010601,0.486
13223120303,0.43
13227050200,0.242
15003007400,0.306
17019010603,0.234
17031200200,0.256
17031833100,0.146
17089851910,0.63
18003010603,0.406
18031969400,0.344
18071967600,0.434
18097320301,0.404
18097352800,0.434
18141012400,0.35
20125950400,0.338
21005950300,0.372
21029021101,0.624
21185030802,0.288
22019000400,0.274
22055001410,0.722
22073000100,0.318
25005651900,0.954
25017353700,0.254
25025081700,0.1
25027732001,0.136
25027745100,0.612
24003702209,0.308
23003952000,0.712
26061000200,0.602
26063951200,0.444
26081010802,0.32
26099267600,0.418
26163505100,0.46
26163541200,0.428
27067781000,0.798
27137001600,0.486
27165950100,0.246
29049960100,0.304
29095009400,0.636
29103960200,0.422
29155470100,0.464
29165030211,0.478
29217950600,0.42
28039950200,0.698
28073020301,0.21
37001020701,0.248
37057061901,0.278
37077970701,0.366
37119006406,0.608
37183053606,0.402
37183054404,0.366
38101010200,0.464
31161951700,0.408
34003052200,0.356
34009020400,0.32
34013000300,0.25
34013002600,0.36
34013005700,0.394
34019011400,0.186
32003002302,0.588
32003002938,0.206
36005028900,0.588
36047026200,0.384
36059410000,0.326
36061016300,0.198
36071010102,0.35
36081119300,0.358
36117021400,0.276
36119002300,0.238
36119002401,0.376
39007000200,0.304
39035105500,0.466
39093050100,0.64
39095007303,0.788
39113000100,0.446
39147963500,0.162
40109107217,0.804
40143005100,0.32
40143007519,0.762
41029001100,0.126
41071030601,0.336
42003410000,0.344
42017105206,0.27
42069110402,0.268
42087960100,0.334
42129806700,0.252
72033020422,0.384
72063210201,0.386
72127004800,0.382
72129220200,0.39
72131958700,0.342
45047970201,0.39
45059920103,0.19
47089070900,0.358
47157008120,0.366
47183968600,0.406
48041001303,0.44
48049950300,0.594
48113019014,0.372
48143950201,0.216
48201341400,0.388
48201551400,0.188
48233950900,0.58
48245010200,0.428
48245011203,0.366
48303010408,0.5
48355005406,0.39
48373210205,0.458
48439111514,0.442
48439123400,0.612
49003960100,0.378
49035111904,0.482
51059420600,0.342
51179010404,0.238
51740212400,0.43
51810045809,0.514
53033002700,0.3
53063000300,0.466
55079006500,0.708
55093960400,0.372
55133202902,0.418
55137960100,0.33
54027968400,0.42
56033000500,0.202
1019955701,0.426
1073014102,0.458
1073014302,0.386
5069001000,0.308
5143010510,0.63
4013061029,0.366
4013093001,0.32
4013109802,0.286
4013217501,0.472
6001428600,0.382
6037115104,0.386
6037212610,0.374
6037262200,0.262
6037401002,0.364
6059042307,0.436
6059074701,0.434
6065042903,0.698
6067008132,0.446
6073012102,0.282
6073017501,0.348
6073020018,0.59
6075045100,0.066
6077003108,0.44
6081608700,0.222
6099000303,0.264
8001009307,0.358
8041004510,0.118
8059010213,0.254
8083941100,0.274
9009161100,0.246
10001040201,0.558
12009071339,0.332
12011041200,0.664
12011070317,0.478
12011090601,0.562
12099007832,0.526
13121005300,0.36
13297110603,0.41
19031450200,0.078
19061010500,0.356
17019001206,0.226
17031062400,0.256
17031080300,0.242
17031813900,0.408
17043845811,0.382
17111870812,0.192
17119402100,0.95
20107955100,0.384
21067002800,0.508
22073000401,0.562
22079012700,0.322
22103041210,0.348
22115950701,0.402
25021400500,0.218
24021750600,0.13
24031700306,0.332
24031701315,0.342
24043000900,0.414
24043010500,0.214
23013971100,0.332
26045021301,0.248
26049010502,0.424
26087334500,0.37
26125181100,0.25
26161413200,0.234
26163581600,0.444
27003050210,0.436
27021940002,0.692
27053104100,0.17
27171101100,0.356
27173970400,0.408
29077001700,0.416
29181870100,0.398
28069030200,0.35
30047940400,0.292
37105030300,0.464
37119005840,0.364
37149920103,0.128
31109003709,0.52
34021002601,0.292
34023001417,0.366
34023006900,0.7
36005038700,0.102
36005040303,0.386
36025970300,0.352
36027030000,0.19
36027150005,0.298
36057070900,0.43
36057072100,0.4
36065024700,0.304
36073040700,0.18
36081100801,0.366
36081119100,0.54
39025041405,0.524
39061026900,0.222
39097040102,0.52
39119911500,0.708
39149971500,0.466
39153531001,0.466
42003451102,0.498
42027011502,0.396
42077002100,0.482
42091200602,0.302
42093050300,0.434
42129802800,0.356
72021031305,0.398
72057270400,0.44
72087110301,0.38
72127980104,0.262
72127980105,0.262
45045002803,0.356
45063021027,0.33
46093020200,0.348
47001020500,0.604
48029171912,0.386
48083950700,0.382
48135002300,0.758
48201220600,0.434
48201540902,0.388
48439111550,0.554
49011126402,0.362
51013103800,0.238
51670820500,0.688
51740212701,0.404
51760070100,0.524
50019951100,0.324
50027965800,0.17
53025011402,0.668
53033000700,0.63
53053071309,0.362
53053073405,0.424
53061051804,0.284
53077001300,0.484
55049950600,0.314
55079000301,0.376
55079014100,0.392
55115100500,0.434
1067030200,0.428
1097006407,0.358
4019002801,0.466
4019003003,0.48
4021000212,0.34
6029006002,0.366
6037461502,0.548
6037482522,0.392
6037920336,0.232
6037980028,0.262
6059074502,0.456
6059088201,0.416
6071000604,0.438
6071006402,0.262
6073001300,0.386
6073003003,0.39
6083000501,0.322
6085502901,0.334
6099003904,0.45
8001009319,0.488
8005080900,0.404
8031004506,0.376
8045951701,0.374
8059012050,0.31
8069001808,0.524
