Tract (Group 1)	risk_indicator
12103023100	1
12103024100	1
12103024403	2
12103024703	1
12103024803	1
12103025204	1
12103025505	2
12103025602	1
12103026300	1
12105010702	1
12105011501	1
12105012303	1
12105012305	1
12105012502	1
12105012601	1
12105012700	1
12105012804	1
12105013101	0
12105013102	1
12105013902	0
12105014124	4
12105014301	2
12105014502	1
12105014702	1
12105014902	1
12105015200	0
12105015600	2
12105015701	1
12105016003	1
12107950202	1
12107950800	1
12109020901	0
12109021003	0
12109021103	3
12111380500	1
12111380901	1
12111382113	1
12113010300	1
12115000101	1
12115000102	1
12115000300	1
12115001101	1
12115001102	1
12115001201	1
12115001506	1
12115002721	1
12117020201	2
12117020401	2
12117020500	1
12117020806	1
12117021201	1
12117021707	2
12121970100	1
12127081000	1
12127081300	1
12127083006	1
12127083008	1
12127090804	1
12127091013	1
12127091016	1
12127091020	1
12129010100	0
12131950102	1
13001950100	1
13001950200	1
13001950300	1
13003960200	1
13005970201	1
13011970100	1
13011970300	1
13013180104	1
13013180402	1
13013180503	1
13017960400	2
13021010100	0
13021010800	1
13021011701	1
13021011800	1
13021012300	1
13021012500	1
13021012600	1
13021012700	1
13021012800	2
13021013302	1
13021013504	1
13021013605	1
13021013800	1
13023790200	1
13025960200	1
13027960400	1
13029920102	1
13031110401	1
13031110700	1
13035150200	1
13035150300	1
13039010100	1
13043950100	4
13043950200	1
13045910501	1
13045910701	1
13045910703	1
13047030402	1
13047030600	1
13047030700	1
13049010100	2
13051000601	1
13051001100	2
13051002700	3
13051003302	2
13051003601	2
13051003700	1
13051010102	2
13051010807	1
13051010809	1
13051011300	3
13055010400	1
13057090601	1
13057090602	1
13059130700	1
13059140600	1
13063040308	4
13063040409	1
13063040415	6
13063040515	3
13063040524	1
13063040525	1
13063040611	1
13063040612	1
13063040616	1
13065970100	1
13067030504	1
13067030904	1
13067031309	2
13067031409	1
13069010700	1
13071970100	1
13071970300	1
13071970800	1
13073030202	2
13073030506	1
13077170305	0
13079070100	1
13079070202	1
13083040200	1
13085970201	1
13089020500	1
13089021806	1
13089021908	1
13089021910	0
13089021911	1
13089022007	1
13089023101	1
13089023107	1
13089023206	1
13089023208	1
13089023209	1
13089023309	1
13089023314	1
13089023315	1
13089023410	3
13089023419	1
13089023423	1
13089023501	1
13089023601	1
13089023802	1
13091960200	2
13095000800	1
13095001100	1
13095001403	1
13095001500	1
13095011400	1
13097080103	1
13097080202	1
13099090400	2
13105000100	1
13105000400	2
13105000500	1
13107970300	1
13107970400	1
13109970100	1
13109970300	1
13111050200	1
13113140207	1
13113140406	2
13115001600	2
13117130104	1
13119890400	1
13121001300	2
13121002400	1
13121002500	0
13121005200	1
13121005300	1
13121005501	1
13121005502	1
13121005700	1
13121006200	0
13121007705	5
13121007802	1
13121007806	1
13121008500	0
13121010113	0
13121010205	0
13121010301	0
13121010303	1
13121010510	1
13121010514	2
13121010601	3
13121011000	0
13121011301	1
13121011303	1
13123080400	1
13123080500	1
13127000401	2
13127000900	1
13127001000	1
13129970300	1
13129970700	1
13129970800	1
13135050220	1
13135050311	1
13135050313	0
13135050318	1
13135050419	1
13135050520	0
13135050729	1
13137000202	1
13139000201	1
13139000204	1
13139000302	2
13139000304	1
13139000702	1
13139001003	1
13139001403	1
13139001501	1
13139001603	1
13141480300	2
13143010200	1
13145120198	1
13151070110	1
13151070306	1
13151070311	1
13151070402	1
13151070403	1
13153020108	1
13153021201	1
13157010101	1
13163960100	2
13163960300	1
13165960100	3
13169030104	1
13169030200	1
13173950200	1
13175950202	0
13175950400	1
13175950600	1
13175950800	2
13177020100	1
13179010207	1
13181970100	2
13185010401	1
13185010604	1
13185011402	1
13185011403	0
13187960102	3
13189950200	1
13189950400	1
13193000400	2
13195020500	1
13199970500	1
13199970700	1
13201950200	1
13205090400	1
13205090500	0
13207050102	1
13207050200	2
13213010400	1
13213010500	1
13213010700	0
13215002700	1
13215003000	4
13215010605	1
13215010607	1
13215010703	0
13215011200	1
13215011500	2
13217100400	2
13217100700	2
13223120302	1
13223120503	2
13225040301	2
13227050200	1
13227050600	1
13233010400	2
13237960202	2
13245000700	1
13245001300	1
13245001500	1
13245010101	0
13245010504	1
13245010507	1
13245010510	1
13245010512	1
13245010600	1
13245010707	1
13245010710	1
13245010904	1
13247060304	1
13247060309	1
13247060404	1
13247060407	1
13249960100	1
13251970500	1
13255160400	1
13255160700	1
13257970301	2
13259950400	1
13261950300	1
13261950400	1
13261950800	1
13267950201	1
13269950300	2
13277960500	2
13277960600	2
13277960700	1
13279970100	1
13281960300	1
13285961000	1
13293010400	1
13293010500	3
13293010600	2
13295020100	1
13295020200	1
13295020501	1
13295020700	2
13295020901	1
13297110700	1
13299950200	1
13299950800	2
13307960200	1
13311950300	2
13313000400	4
13315960400	2
13319960300	1
15001020300	6
15001020500	2
15001021005	1
15003002005	1
15003008907	1
15003009801	1
15003010504	1
16001000304	1
16001000500	2
16001000600	1
16001000701	2
16001001700	3
16009950100	1
16011950400	1
16017950200	1
16017950400	1
16017950500	1
16017950900	1
16019971100	1
16021970100	1
16027020402	1
16027021200	1
16027021600	3
16027021904	1
16035970100	1
16045960200	1
16047960100	1
16051960100	1
16053970400	1
16055000500	1
16055001400	1
16055001700	1
16075960200	1
16083001400	1
17001010200	1
17003957700	1
17003957800	1
17005951500	1
17011965300	1
17011965600	1
17017960400	1
17019005402	1
17019010400	2
17023060100	1
17025972100	1
17027900500	1
17031010501	1
17031071400	1
17031110100	1
17031130300	1
17031140302	3
17031160300	2
17031190402	7
17031191302	1
17031230600	3
17031242300	1
17031250800	1
17031251100	2
17031251300	0
17031251600	1
17031252000	1
17031252202	1
17031260700	2
17031292200	4
17031292500	1
17031301100	1
17031301801	1
17031390200	1
17031420700	1
17031460200	2
17031460700	1
17031480500	4
17031490300	1
17031490901	4
17031490902	1
17031491400	1
17031510300	1
17031530600	1
17031540102	1
17031560200	1
17031570400	2
17031580400	1
17031611000	2
17031611100	1
17031611200	1
17031630300	1
17031630500	3
17031660600	1
17031660700	1
17031670200	1
17031670500	1
17031671300	1
17031671500	3
17031680600	1
17031690500	1
17031690900	2
17031700401	1
17031730201	2
17031730400	1
17031730500	2
17031730700	1
17031804202	1
17031817200	1
17031819500	1
17031820104	1
17031821500	2
17031822000	1
17031824300	1
