

Tract (Group 1)	Date (Group 2)	risk_indicator
48221160208	1/1/09	1
48249950100	1/1/09	1
48303010508	1/1/09	1
48347950302	1/1/09	1
48355000600	1/1/09	1
48439100201	1/1/09	1
48439105800	1/1/09	1
48451001704	1/1/09	1
48453001765	1/1/09	1
48485010800	1/1/09	1
5011950200	1/1/09	3
51025930300	1/1/09	1
5107480300	1/1/09	1
51085321300	1/1/09	1
51143010100	1/1/09	1
5119004105	1/1/09	1
5139951000	1/1/09	1
51740212400	1/1/09	1
51770002700	1/1/09	1
53033003300	1/1/09	1
53033032315	1/1/09	1
53041971900	1/1/09	1
53061051802	1/1/09	1
53077001202	1/1/09	2
54041967600	1/1/09	1
54047954000	1/1/09	1
54049020500	1/1/09	1
54055001500	1/1/09	1
54065970700	1/1/09	1
6001403502	1/1/09	2
6013379000	1/1/09	3
6029002700	1/1/09	1
6037201200	1/1/09	1
6037231720	1/1/09	1
6037535200	1/1/09	0
6059087001	1/1/09	2
6067007406	1/1/09	1
6071002105	1/1/09	1
6085502901	1/1/09	1
6107000501	1/1/09	1
6107004200	1/1/09	1
72127003300	1/1/09	1
72137121001	1/1/09	1
8041005108	1/1/09	1
8059010403	1/1/09	7
8105977000	1/1/09	1
9011690500	1/1/09	1
9011690700	1/1/09	1
10005050602	1/10/09	1
1045021101	1/10/09	1
1069040301	1/10/09	1
1101001100	1/10/09	1
1115040201	1/10/09	1
12033001800	1/10/09	1
12053040801	1/10/09	1
12055960102	1/10/09	1
12083000501	1/10/09	1
12101032200	1/10/09	1
12103021200	1/10/09	0
12105014902	1/10/09	1
12107950202	1/10/09	1
13025960200	1/10/09	1
13045910701	1/10/09	1
13051003601	1/10/09	2
13051003700	1/10/09	1
13055010400	1/10/09	1
13063040308	1/10/09	2
13193000400	1/10/09	1
13227050600	1/10/09	1
17031690900	1/10/09	1
17055040800	1/10/09	1
17141961500	1/10/09	1
18003011202	1/10/09	1
18023950700	1/10/09	1
18023950800	1/10/09	1
18057110505	1/10/09	1
19105070500	1/10/09	1
19163010700	1/10/09	1
19193000400	1/10/09	1
20037957300	1/10/09	0
20037957500	1/10/09	0
20037957600	1/10/09	0
2090000900	1/10/09	1
21159950100	1/10/09	1
21229930100	1/10/09	1
22017021100	1/10/09	0
22033004009	1/10/09	1
22081960300	1/10/09	0
22101041200	1/10/09	1
22105953400	1/10/09	1
22105953800	1/10/09	1
22109001300	1/10/09	1
23005001700	1/10/09	1
24003730401	1/10/09	3
24033803100	1/10/09	1
24043000100	1/10/09	0
24045000100	1/10/09	2
24047951000	1/10/09	1
24047951500	1/10/09	2
24510150300	1/10/09	1
24510160801	1/10/09	1
25001012101	1/10/09	1
25005612100	1/10/09	1
26025003100	1/10/09	1
26027001000	1/10/09	1
26081003900	1/10/09	1
26163501600	1/10/09	1
27053101600	1/10/09	1
28029950400	1/10/09	1
28037950100	1/10/09	1
28045030200	1/10/09	3
28145950400	1/10/09	1
28159950500	1/10/09	1
29001951000	1/10/09	1
29023950300	1/10/09	1
29051010400	1/10/09	2
29055450200	1/10/09	1
29095009000	1/10/09	1
29095016900	1/10/09	1
29099701101	1/10/09	1
29195090300	1/10/09	1
33011014300	1/10/09	0
35001000712	1/10/09	1
35045942801	1/10/09	1
36005035800	1/10/09	0
36005036000	1/10/09	0
36017970802	1/10/09	1
36027080202	1/10/09	1
36047024100	1/10/09	3
36047092000	1/10/09	1
36061008100	1/10/09	0
36061019600	1/10/09	0
36061024200	1/10/09	1
36075021603	1/10/09	1
36081045400	1/10/09	1
36081046000	1/10/09	1
36085020100	1/10/09	6
36091061600	1/10/09	1
37027030200	1/10/09	0
37049960600	1/10/09	0
37051003312	1/10/09	1
37069060301	1/10/09	1
37077970102	1/10/09	1
37081016201	1/10/09	1
37089931902	1/10/09	1
37105030503	1/10/09	1
37123960100	1/10/09	1
37129011000	1/10/09	1
37135010901	1/10/09	1
37191000700	1/10/09	0
39025040702	1/10/09	1
39049009386	1/10/09	4
39061008400	1/10/09	1
39113165100	1/10/09	1
39117965500	1/10/09	1
39151700200	1/10/09	1
40109106913	1/10/09	3
40109106914	1/10/09	3
40115574500	1/10/09	1
40123089100	1/10/09	1
40125501102	1/10/09	1
4013061018	1/10/09	1
4013113700	1/10/09	3
4019001303	1/10/09	1
41035970900	1/10/09	1
42069100800	1/10/09	2
42069112600	1/10/09	1
42075000401	1/10/09	1
42095015500	1/10/09	1
42097081000	1/10/09	1
42101027600	1/10/09	2
42101027800	1/10/09	29
42101028200	1/10/09	1
42101033701	1/10/09	1
42131400300	1/10/09	1
42133021220	1/10/09	1
44007002102	1/10/09	3
45035010808	1/10/09	1
45041000202	1/10/09	1
45053950100	1/10/09	1
45057010600	1/10/09	1
45075011600	1/10/09	1
45079010900	1/10/09	1
45085000800	1/10/09	1
45089970502	1/10/09	1
46109940800	1/10/09	1
47009011301	1/10/09	1
47009011604	1/10/09	1
47033961200	1/10/09	1
47093005502	1/10/09	1
47143975000	1/10/09	1
47157000200	1/10/09	2
47157000600	1/10/09	1
48011950100	1/10/09	1
48021950100	1/10/09	1
48025950500	1/10/09	1
48027023000	1/10/09	1
48053960800	1/10/09	1
48073950500	1/10/09	1
48091310200	1/10/09	1
48113010500	1/10/09	1
48113019035	1/10/09	1
48139060207	1/10/09	1
48139060300	1/10/09	1
48189950100	1/10/09	1
48189950700	1/10/09	1
48217960100	1/10/09	1
48309004300	1/10/09	2
48349970600	1/10/09	1
48439122900	1/10/09	0
48453001503	1/10/09	4
50019951900	1/10/09	1
50021964000	1/10/09	2
50023954200	1/10/09	1
5027950400	1/10/09	1
5047950200	1/10/09	2
5093010800	1/10/09	1
51133020300	1/10/09	1
5119001100	1/10/09	1
5145070200	1/10/09	1
51520020200	1/10/09	1
51700032123	1/10/09	0
53001950300	1/10/09	2
53027001000	1/10/09	2
53027001100	1/10/09	1
53027001200	1/10/09	2
53065951300	1/10/09	1
54035963600	1/10/09	1
54061010700	1/10/09	1
55001950501	1/10/09	1
55057100500	1/10/09	1
55079100600	1/10/09	1
6007001100	1/10/09	1
6013369002	1/10/09	1
6059099703	1/10/09	1
6065040605	1/10/09	1
6065042720	1/10/09	1
6111004506	1/10/09	1
9003415900	1/10/09	0
1003010703	1/11/09	1
1069041700	1/11/09	1
1095030702	1/11/09	1
1125011701	1/11/09	1
12001000600	1/11/09	1
12001000700	1/11/09	1
12071040311	1/11/09	1
12086009600	1/11/09	1
12095010500	1/11/09	2
12109021003	1/11/09	0
13049010100	1/11/09	1
13089023309	1/11/09	1
13089023419	1/11/09	1
13115001600	1/11/09	2
13121010514	1/11/09	1
13181970100	1/11/09	1
13255160700	1/11/09	1
13319960300	1/11/09	1
16083001400	1/11/09	1
17031730700	1/11/09	1
17031841400	1/11/09	1
17115002904	1/11/09	1
17117956800	1/11/09	1
17125956500	1/11/09	1
17165955900	1/11/09	1
17167003201	1/11/09	1
17199020600	1/11/09	0
18003001700	1/11/09	1
18005010300	1/11/09	1
18095000300	1/11/09	1
18097342600	1/11/09	1
18097390700	1/11/09	2
18157001200	1/11/09	3
18167010500	1/11/09	1
19039960200	1/11/09	1
20139010500	1/11/09	1
20177001800	1/11/09	1
2020000701	1/11/09	2
21059000500	1/11/09	1
21191930300	1/11/09	1
21193970500	1/11/09	1
21227010600	1/11/09	0
2170000701	1/11/09	1
22009030900	1/11/09	1
22063040500	1/11/09	1
22079013500	1/11/09	1
22093040400	1/11/09	1
22103041102	1/11/09	1
22105953200	1/11/09	1
22105953300	1/11/09	1
22117950200	1/11/09	2
23001046000	1/11/09	0
24510080302	1/11/09	1
24510280500	1/11/09	1
25001015300	1/11/09	0
25009210700	1/11/09	1
26049003200	1/11/09	1
26075001200	1/11/09	1
26121001200	1/11/09	1
26163537000	1/11/09	1
26163537300	1/11/09	1
26163553000	1/11/09	1
27027030201	1/11/09	1
27135970400	1/11/09	1
28005950200	1/11/09	1
28023950300	1/11/09	1
28159950300	1/11/09	1
29031880500	1/11/09	1
29037061300	1/11/09	1
29087960300	1/11/09	1
29095016600	1/11/09	3
29181870400	1/11/09	1
29189215900	1/11/09	1
29195090500	1/11/09	1
29209090602	1/11/09	1
29510105500	1/11/09	1
29510106600	1/11/09	1
29510111300	1/11/09	1
31055000500	1/11/09	1
31153010632	1/11/09	2
32003005107	1/11/09	1
34011040902	1/11/09	1
34013012000	1/11/09	1
34015500701	1/11/09	5
34017001400	1/11/09	2
35029000500	1/11/09	1
35061970102	1/11/09	1
36005006800	1/11/09	0
36005007000	1/11/09	0
36005020900	1/11/09	2
36005022500	1/11/09	0
36005022703	1/11/09	0
36005033800	1/11/09	2
36035970900	1/11/09	1
36047059200	1/11/09	0
36061008000	1/11/09	0
36081037700	1/11/09	1
36081152902	1/11/09	0
36085000700	1/11/09	2
36085011201	1/11/09	0
36087012700	1/11/09	1
36117021502	1/11/09	1
36119006801	1/11/09	1
37007920600	1/11/09	1
37065020200	1/11/09	1
37081014200	1/11/09	1
37083931000	1/11/09	1
37107010100	1/11/09	1
37107010400	1/11/09	1
39003013800	1/11/09	1
39049006100	1/11/09	0
39049007424	1/11/09	0
39049009800	1/11/09	1
39063000400	1/11/09	1
39063000600	1/11/09	1
39063000800	1/11/09	6
39063000900	1/11/09	5
39081011402	1/11/09	1
39095001500	1/11/09	1
39113050504	1/11/09	1
39141956900	1/11/09	2
40037021201	1/11/09	1
40089098900	1/11/09	1
4013116000	1/11/09	1
40143009500	1/11/09	1
41005020800	1/11/09	1
42049012002	1/11/09	1
42119090502	1/11/09	1
45077010903	1/11/09	1
45079011800	1/11/09	1
45085001600	1/11/09	1
46121940200	1/11/09	1
47011010100	1/11/09	1
47081950301	1/11/09	1
47097050300	1/11/09	1
47107970700	1/11/09	1
47125101307	1/11/09	1
