"","tractid","all_fire","alarm_unknown","alarm_presented","alarm_not_presented","ratio_no_alarm_in_all","ratio_no_alarm_in_all_known"
"1","01001020100",2,0,2,0,0,0
"2","01001020200",3,0,1,2,0.666666666666667,0.666666666666667
"3","01001020300",3,2,0,1,0.333333333333333,1
"4","01001020400",3,1,1,1,0.333333333333333,0.5
"5","01001020500",2,1,1,0,0,0
"6","01001020600",3,0,1,2,0.666666666666667,0.666666666666667
"7","01001020700",1,0,0,1,1,1
"8","01001020801",2,2,0,0,0,NA
"9","01001020802",1,0,1,0,0,0
"10","01001020900",1,1,0,0,0,NA
"11","01003010100",2,1,1,0,0,0
"12","01003010200",1,1,0,0,0,NA
"13","01003010300",4,2,0,2,0.5,1
"14","01003010500",4,2,2,0,0,0
"15","01003010600",4,4,0,0,0,NA
"16","01003010701",6,2,3,1,0.166666666666667,0.25
"17","01003010703",4,3,0,1,0.25,1
"18","01003010704",4,0,2,2,0.5,0.5
"19","01003010705",8,4,3,1,0.125,0.25
"20","01003010800",7,2,4,1,0.142857142857143,0.2
"21","01003010904",2,2,0,0,0,NA
"22","01003010905",1,1,0,0,0,NA
"23","01003011101",3,2,1,0,0,0
"24","01003011102",1,1,0,0,0,NA
"25","01003011201",2,2,0,0,0,NA
"26","01003011300",2,2,0,0,0,NA
"27","01003011401",5,4,0,1,0.2,1
"28","01003011403",2,1,1,0,0,0
"29","01003011405",2,1,1,0,0,0
"30","01003011406",3,1,2,0,0,0
"31","01003011408",1,1,0,0,0,NA
"32","01003011502",4,3,1,0,0,0
"33","01003011601",4,4,0,0,0,NA
"34","01003011602",6,6,0,0,0,NA
"35","01005950200",12,10,1,1,0.0833333333333333,0.5
"36","01005950300",5,5,0,0,0,NA
"37","01005950400",9,8,1,0,0,0
"38","01005950500",1,1,0,0,0,NA
"39","01007010002",1,1,0,0,0,NA
"40","01007010003",1,1,0,0,0,NA
"41","01009050101",6,6,0,0,0,NA
"42","01009050102",14,7,5,2,0.142857142857143,0.285714285714286
"43","01009050200",5,5,0,0,0,NA
"44","01009050300",5,5,0,0,0,NA
"45","01009050400",16,14,0,2,0.125,1
