"","tractid","all_fire","alarm_unknown","alarm_presented","alarm_not_presented","ratio_no_alarm_in_all","ratio_no_alarm_in_all_known"
"1115","04013109400",6,2,0,4,0.666666666666667,1
"1116","04013109500",2,2,0,0,0,NA
"1117","04013109601",3,1,0,2,0.666666666666667,1
"1118","04013109602",2,0,0,2,1,1
"1119","04013109603",3,2,0,1,0.333333333333333,1
"1120","04013109604",3,1,0,2,0.666666666666667,1
"1121","04013109701",3,1,0,2,0.666666666666667,1
"1122","04013109702",8,3,0,5,0.625,1
"1123","04013109703",1,0,0,1,1,1
"1124","04013109704",3,0,0,3,1,1
"1125","04013109801",6,2,0,4,0.666666666666667,1
"1126","04013109802",6,2,0,4,0.666666666666667,1
"1127","04013109900",6,3,0,3,0.5,1
"1128","04013110001",4,1,0,3,0.75,1
"1129","04013110002",1,0,0,1,1,1
"1130","04013110100",5,1,0,4,0.8,1
"1131","04013110400",9,1,0,8,0.888888888888889,1
"1132","04013110501",1,1,0,0,0,NA
"1133","04013110600",7,1,0,6,0.857142857142857,1
"1134","04013110701",3,0,0,3,1,1
"1135","04013110702",2,1,0,1,0.5,1
"1136","04013110801",4,3,0,1,0.25,1
"1137","04013110902",3,0,0,3,1,1
"1138","04013111000",3,2,0,1,0.333333333333333,1
"1139","04013111100",5,2,0,3,0.6,1
"1140","04013111201",7,5,0,2,0.285714285714286,1
"1141","04013111202",1,0,0,1,1,1
"1142","04013111203",1,0,0,1,1,1
"1143","04013111204",2,1,0,1,0.5,1
"1144","04013111300",4,1,0,3,0.75,1
"1145","04013111401",3,1,0,2,0.666666666666667,1
"1146","04013111402",2,0,0,2,1,1
"1147","04013111501",4,0,0,4,1,1
"1148","04013111502",5,2,0,3,0.6,1
"1149","04013111602",11,0,0,11,1,1
"1150","04013111700",2,1,0,1,0.5,1
"1151","04013111800",4,2,0,2,0.5,1
"1152","04013112100",4,1,0,3,0.75,1
"1153","04013112202",1,1,0,0,0,NA
"1154","04013112301",9,1,0,8,0.888888888888889,1
"1155","04013112302",5,4,0,1,0.2,1
"1156","04013112401",4,1,0,3,0.75,1
"1157","04013112402",3,3,0,0,0,NA
"1158","04013112502",4,0,0,4,1,1
"1159","04013112503",6,5,0,1,0.166666666666667,1
"1160","04013112504",4,1,0,3,0.75,1
"1161","04013112505",2,1,0,1,0.5,1
"1162","04013112508",1,1,0,0,0,NA
"1163","04013112511",2,2,0,0,0,NA
"1164","04013112512",2,2,0,0,0,NA
"1165","04013112513",5,3,0,2,0.4,1
"1166","04013112514",2,2,0,0,0,NA
"1167","04013112601",6,0,0,6,1,1
"1168","04013112602",6,1,0,5,0.833333333333333,1
"1169","04013112700",2,0,0,2,1,1
"1170","04013112900",6,1,0,5,0.833333333333333,1
"1171","04013113000",2,0,0,2,1,1
"1172","04013113100",3,1,0,2,0.666666666666667,1
"1173","04013113201",2,0,0,2,1,1
"1174","04013113202",2,0,0,2,1,1
"1175","04013113300",2,0,0,2,1,1
"1176","04013113501",3,1,0,2,0.666666666666667,1
"1177","04013113502",5,2,0,3,0.6,1
"1178","04013113602",5,2,0,3,0.6,1
"1179","04013113700",9,5,0,4,0.444444444444444,1
"1180","04013113801",16,9,0,7,0.4375,1
"1181","04013113802",17,16,0,1,0.0588235294117647,1
"1182","04013113900",3,1,0,2,0.666666666666667,1
"1183","04013114000",8,3,0,5,0.625,1
"1184","04013114100",3,1,0,2,0.666666666666667,1
"1185","04013114200",2,1,0,1,0.5,1
"1186","04013114301",1,0,0,1,1,1
"1187","04013114302",1,1,0,0,0,NA
"1188","04013114401",3,0,0,3,1,1
"1189","04013114402",6,1,0,5,0.833333333333333,1
"1190","04013114500",3,1,0,2,0.666666666666667,1
"1191","04013114600",2,0,0,2,1,1
"1192","04013114703",2,1,0,1,0.5,1
"1193","04013114800",12,2,0,10,0.833333333333333,1
"1194","04013114900",3,0,0,3,1,1
"1195","04013115200",17,12,0,5,0.294117647058824,1
"1196","04013115300",3,1,0,2,0.666666666666667,1
